State,District,Clinton total,Trump Total,Difference Clinton-Trump
LA,LA-6,110395,230700,-120305
ME,ME-1,212773,154425,58348
ME,ME-2,144962,181168,-36206
MD,MD-1,122338,226963,-104625
MD,MD-2,189471,112551,76920
MD,MD-3,215542,110772,104770
MD,MD-4,250929,64074,186855
MD,MD-5,233109,116816,116293
MD,MD-6,186289,135683,50606
MD,MD-7,243433,64926,178507
MD,MD-8,236817,111385,125432
MA,MA-1,194036,123953,70083
MA,MA-2,197492,129437,68055
MA,MA-3,202952,123347,79605
MA,MA-4,225976,133705,92271
MA,MA-5,258908,95922,162986
MA,MA-6,224858,153244,71614
MA,MA-7,254037,36018,218019
MA,MA-8,231356,131624,99732
MA,MA-9,205581,163643,41938
MI,MI-1,133237,210822,-77585
MI,MI-2,132462,193198,-60736
MI,MI-3,147330,180344,-33014
MI,MI-4,113817,195302,-81485
MI,MI-5,162962,148972,13990
MI,MI-6,142305,170314,-28009
MI,MI-7,131566,189655,-58089
MI,MI-8,164436,189891,-25455
MI,MI-9,183085,155597,27488
MI,MI-10,113065,228171,-115106
MI,MI-11,177143,194245,-17102
MI,MI-12,205939,116741,89198
MI,MI-13,209105,48111,160994
MI,MI-14,252387,58179,194208
MN,MN-1,130831,181647,-50816
MN,MN-2,171287,175807,-4520
MN,MN-3,201833,164259,37574
MN,MN-4,223803,111163,112640
MN,MN-5,273402,68535,204867
MN,MN-6,123329,218546,-95217
MN,MN-7,104566,208215,-103649
MN,MN-8,138665,194779,-56114
MS,MS-1,100770,203144,-102374
MS,MS-2,185208,102392,82816
MS,MS-3,119108,198527,-79419
MS,MS-4,80045,196652,-116607
MO,MO-1,246107,60136,185971
MO,MO-2,177647,220842,-43195
MO,MO-3,106365,254183,-147818
MO,MO-4,99844,222162,-122318
MO,MO-5,177772,133458,44314
MO,MO-6,112056,223375,-111319
MO,MO-7,84419,240690,-156271
MO,MO-8,66858,239666,-172808
MT,MT-1,177709,279240,-101531
